epoch,dice_coef,loss,lr,val_dice_coef,val_loss
0,0.015637965872883797,0.984362006187439,1e-04,0.014531650580465794,0.985468327999115
1,0.019868509843945503,0.9801315069198608,1e-04,0.014589902944862843,0.9854100942611694
2,0.023257693275809288,0.9767423272132874,1e-04,0.014646644704043865,0.9853533506393433
3,0.02572210319340229,0.974277913570404,1e-04,0.014695616438984871,0.9853043556213379
4,0.02754243277013302,0.9724576473236084,1e-04,0.014744297601282597,0.9852557182312012
5,0.029052626341581345,0.9709473252296448,1e-04,0.014790548011660576,0.9852094650268555
6,0.030468080192804337,0.9695319533348083,1e-04,0.014837157912552357,0.9851628541946411
7,0.031895533204078674,0.9681044220924377,1e-04,0.014884594827890396,0.9851154088973999
8,0.03337981179356575,0.9666202068328857,1e-04,0.01492693368345499,0.9850730895996094
9,0.03492111340165138,0.9650788903236389,1e-04,0.014959990978240967,0.985040009021759
10,0.036523450165987015,0.9634765386581421,1e-04,0.01498472224920988,0.9850152730941772
11,0.03818735480308533,0.9618126153945923,1e-04,0.015001838095486164,0.9849981665611267
12,0.039889585226774216,0.9601104259490967,1e-04,0.015009019523859024,0.9849909543991089
13,0.041579004377126694,0.958420991897583,1e-04,0.015006323345005512,0.9849936962127686
